Unit;CPT01;
org.apache.cassandra.locator.NetworkTopologyStrategy;X;
org.apache.cassandra.locator.OldNetworkTopologyStrategy;X;
org.apache.cassandra.locator.PropertyFileSnitch;X;
org.apache.cassandra.locator.RackInferringSnitch;X;
org.apache.cassandra.locator.SeedProvider;X;
org.apache.cassandra.locator.SimpleSeedProvider;X;
org.apache.cassandra.locator.SimpleSnitch;X;
org.apache.cassandra.locator.SimpleStrategy;X;
org.apache.cassandra.locator.TokenMetadata;X;
org.apache.cassandra.net.AsyncResult;X;
org.apache.cassandra.net.CachingMessageProducer;X;
org.apache.cassandra.net.CallbackInfo;X;
org.apache.cassandra.net.CompactEndpointSerializationHelper;X;
org.apache.cassandra.net.Header;X;
org.apache.cassandra.net.HeaderSerializer;X;
org.apache.cassandra.net.HeaderTypes;X;
org.apache.cassandra.net.IAsyncCallback;X;
org.apache.cassandra.net.IAsyncResult;X;
org.apache.cassandra.net.IMessageCallback;X;
org.apache.cassandra.net.IVerbHandler;X;
org.apache.cassandra.net.IncomingTcpConnection;X;
org.apache.cassandra.net.Message;X;
org.apache.cassandra.net.MessageDeliveryTask;X;
org.apache.cassandra.net.MessageProducer;X;
org.apache.cassandra.net.MessagingService;X;
org.apache.cassandra.net.MessagingService$MSHandle;X;
org.apache.cassandra.net.MessagingService$SocketThread;X;
org.apache.cassandra.net.MessagingServiceMBean;X;
org.apache.cassandra.net.OutboundTcpConnection;X;
org.apache.cassandra.net.OutboundTcpConnectionPool;X;
org.apache.cassandra.net.ProtocolHeader;X;
org.apache.cassandra.net.ResponseVerbHandler;X;
org.apache.cassandra.net.sink.IMessageSink;X;
org.apache.cassandra.net.sink.SinkManager;X;
org.apache.cassandra.notifications.INotification;X;
org.apache.cassandra.notifications.INotificationConsumer;X;
org.apache.cassandra.notifications.SSTableAddedNotification;X;
org.apache.cassandra.notifications.SSTableListChangedNotification;X;
org.apache.cassandra.scheduler.IRequestScheduler;X;
org.apache.cassandra.scheduler.NoScheduler;X;
org.apache.cassandra.scheduler.RoundRobinScheduler;X;
org.apache.cassandra.scheduler.WeightedQueue;X;
org.apache.cassandra.scheduler.WeightedQueue$Entry;X;
org.apache.cassandra.scheduler.WeightedQueueMBean;X;
org.apache.cassandra.security.SSLFactory;X;
org.apache.cassandra.service.AbstractCassandraDaemon;X;
org.apache.cassandra.service.AbstractCassandraDaemon$CleaningThreadPool;X;
org.apache.cassandra.service.AbstractRowResolver;X;
org.apache.cassandra.service.AbstractWriteResponseHandler;X;
org.apache.cassandra.service.AntiEntropyService;X;
org.apache.cassandra.service.AntiEntropyService$CFPair;X;
org.apache.cassandra.service.AntiEntropyService$RepairFuture;X;
org.apache.cassandra.service.AntiEntropyService$RepairSession;X;
org.apache.cassandra.service.AntiEntropyService$RepairSession$Differencer;X;
