Unit;ADR13;ADR14;ADR15;ADR16;Ocurrences;Class DeF
org.apache.cassandra.db.TreeMapBackedSortedColumns;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.TruncateResponse;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.TruncateResponse$TruncateResponseSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.TruncateVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.Truncation;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.TruncationSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.UnserializableColumnFamilyException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.WriteResponse;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.WriteResponse$WriteResponseSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.columniterator.IdentityQueryFilter;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.columniterator.IndexedSliceReader;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.columniterator.IndexedSliceReader$IndexedBlockFetcher;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.columniterator.IndexedSliceReader$SimpleBlockFetcher;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.columniterator.SSTableNamesIterator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.columniterator.SSTableSliceIterator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.columniterator.SimpleAbstractColumnIterator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.columniterator.SimpleSliceReader;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.commitlog.AbstractCommitLogExecutorService;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService$CheaterFutureTask;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.commitlog.CommitLog;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.commitlog.CommitLog$LogRecordAdder;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.commitlog.CommitLogSegment;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.commitlog.PeriodicCommitLogExecutorService;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.commitlog.ReplayPosition;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.commitlog.ReplayPosition$ReplayPositionSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.AbstractCompactedRow;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.AbstractCompactionIterable;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.AbstractCompactionStrategy;1.0;0.0;1.0;1.0;3.0;0.75
