Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.service.ReadCallback;159.0;0.0;51.0;1.0;38.0;13.0;29.0;0.74;0.8222222222222223;10.0;1.0;10.0;8.0;58.0;11.0;59.0;26.0;10.0;2.0;2.0;15.0;0.0;11.0;0.0;4.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0
org.apache.cassandra.thrift.ThriftServer$ThriftServerThread;35.0;0.0;23.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;14.0;2.0;20.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.repair.messages.SyncComplete$SyncCompleteSerializer;22.0;0.0;15.0;1.0;9.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;10.0;2.0;17.0;5.0;5.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.MigrationManager;347.0;0.0;67.0;1.0;86.0;39.0;320.0;0.8333333333333334;0.8620689655172413;6.0;2.0;30.0;24.0;138.0;32.0;77.0;74.0;30.0;3.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;2.0;2.0;0.0;7.0;8.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.gms.Gossiper$GossipTask;58.0;0.0;25.0;1.0;19.0;5.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;26.0;2.0;25.0;6.0;55.0;0.0;47.0;1.0;0.0;7.0;0.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.ArrayBackedSortedColumns$ForwardSortedCollection;10.0;0.0;8.0;2.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;3.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.transport.messages.EventMessage;33.0;0.0;13.0;3.0;3.0;2.0;1.0;0.5;1.0;2.0;2.0;2.0;2.0;6.0;6.0;14.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.scheduler.WeightedQueue$Entry;7.0;0.0;6.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;2.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordReader$WideRowIterator;129.0;0.0;48.0;3.0;28.0;13.0;1.0;0.4444444444444444;0.6666666666666666;3.0;0.0;3.0;0.0;58.0;0.0;0.0;26.0;42.0;1.0;12.0;1.0;0.0;7.0;0.0;1.0;5.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.exceptions.WriteTimeoutException;8.0;0.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;15.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.streaming.StreamState;22.0;0.0;12.0;1.0;3.0;2.0;0.0;0.6666666666666667;0.6666666666666667;3.0;3.0;1.0;1.0;3.0;19.0;12.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.functions.TokenFct;36.0;0.0;24.0;2.0;11.0;4.0;1.0;0.6666666666666667;1.3333333333333335;3.0;1.0;2.0;1.0;17.0;2.0;18.0;7.0;6.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.StorageProxy$LocalMutationRunnable;30.0;0.0;18.0;1.0;11.0;2.0;1.0;0.5;1.0;1.0;0.0;2.0;1.0;12.0;2.0;21.0;4.0;23.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.LatencyTracker;59.0;0.0;9.0;1.0;13.0;5.0;14.0;0.7142857142857143;0.8333333333333334;6.0;0.0;7.0;7.0;12.0;0.0;0.0;12.0;12.0;1.0;1.0;0.0;2.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.dht.RangeStreamer$FailureDetectorSourceFilter;12.0;0.0;7.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;4.0;7.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.Sets$Discarder;24.0;0.0;19.0;2.0;8.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;9.0;4.0;22.0;4.0;16.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
